repository_id,repository_url,commit_sha
highlightjs/highlight.js,https://github.com/highlightjs/highlight.js.git,fc3f06392f189354eed922973635ab9e9268b983
hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory.git,673048c6a543cbbeaed5b8444b8223dc4e23c721
home-assistant/core,https://github.com/home-assistant/core.git,0aedb015faa9c23aa35c83938b8ba184f7eaa2f6
hugohe3/ppt-master,https://github.com/hugohe3/ppt-master.git,3ad8052e97dd35cc57ae8c30442a5b8b5811e5eb
impress/impress.js,https://github.com/impress/impress.js.git,b44b9694b41fd2c076c3d1ad7a0c3e0cea9eb262
jaegertracing/jaeger,https://github.com/jaegertracing/jaeger.git,f05600ea1feea92159b80625fb69a36cd739dcc5
jaredhanson/passport,https://github.com/jaredhanson/passport.git,217018dbc46dcd4118dd6f2c60c8d97010c587f8
jashkenas/backbone,https://github.com/jashkenas/backbone.git,f229c75b194a63a8e07a3313ce43e8d2dc105327
jashkenas/underscore,https://github.com/jashkenas/underscore.git,e70d5bd070f1d883b40e786a955a61e4f4b3c2c6
jdx/mise,https://github.com/jdx/mise.git,bfa1ba35343585fdea54c1107b2855b493132621
jesseduffield/lazydocker,https://github.com/jesseduffield/lazydocker.git,7e7aadc2071d58031bf2daafca1fbd4093efc23f
jesseduffield/lazygit,https://github.com/jesseduffield/lazygit.git,d0ede21e9c1e13de255b78f28102450d4523d748
jquery/jquery,https://github.com/jquery/jquery.git,32bf84bcbb82c6d24d18107b85a534fd8bb0d6f1
juspay/hyperswitch,https://github.com/juspay/hyperswitch.git,3093f22cc46b46415cca152ea0b234277b251ecd
k3s-io/k3s,https://github.com/k3s-io/k3s.git,6481906d19c94bf64ec45ef045ac9eac08bbf9d2
khoj-ai/khoj,https://github.com/khoj-ai/khoj.git,ae229ca894c0b80ad84664afcfdde523b5e87057
koajs/koa,https://github.com/koajs/koa.git,571938d1b42d5bbfbc4f203202e1095a63003f7e
labstack/echo,https://github.com/labstack/echo.git,90702e71a7cde342da70b1f97e8e6420c509f939
lapce/lapce,https://github.com/lapce/lapce.git,b604d57de4a820006d335a3be0d7583eb8fab558
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts.git,16d0d95c02b19df6a8c841f1a0012d7b7367a340
leptos-rs/leptos,https://github.com/leptos-rs/leptos.git,e238bcedccea9ef685b4d38f5cd4aa07070279d8
lima-vm/lima,https://github.com/lima-vm/lima.git,d34af7fde5382eb0ec5c48f8243976c446e452ae
livekit/livekit,https://github.com/livekit/livekit.git,adf44a2eb6f35c1b0df81a2a54428329c1a61dec
lm-sys/FastChat,https://github.com/lm-sys/FastChat.git,587d5cfa1609a43d192cedb8441cac3c17db105d
louis-e/arnis,https://github.com/louis-e/arnis.git,dccd627a08a76e7fd680ddf4d155ab8f85ec4c39
lutzroeder/netron,https://github.com/lutzroeder/netron.git,71c1d42ffd11fae0fd2d3c2b64177f5b1933c4f1
mem0ai/mem0,https://github.com/mem0ai/mem0.git,02f7a9b2c4fe38dedb96631e48c85c74ad58b605
micro-editor/micro,https://github.com/micro-editor/micro.git,393cf24858e63ba75af1480b618d2e3add5b9e3e
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners.git,5f220217d35499881cfff61a5b4c2dab033ab228
milvus-io/milvus,https://github.com/milvus-io/milvus.git,1759fb0961dcd315687242f89f9c84cece20852e
moby/moby,https://github.com/moby/moby.git,b21c422926bd4576c499c7c803c683f5f58b6d8b
mui/material-ui,https://github.com/mui/material-ui.git,7b1b6b1649146ba3586dd8a0381ed27c419d479c
mvanhorn/last30days-skill,https://github.com/mvanhorn/last30days-skill.git,ca9d415e66073b17702f385d6886934097aec0e7
myshell-ai/OpenVoice,https://github.com/myshell-ai/OpenVoice.git,74a1d147b17a8c3092dd5430504bd83ef6c7eb23
nats-io/nats-server,https://github.com/nats-io/nats-server.git,3ad37644ae689c8310b50569a5824b45055a3fec
nikivdev/code,https://github.com/nikivdev/code.git,a747e741ae92c09071d0ae946ab48488adcff1ce
nsqio/nsq,https://github.com/nsqio/nsq.git,85cf10c09c6c3c86160d6f0eb156f62d0efc1648
odysseus-dev/odysseus,https://github.com/odysseus-dev/odysseus.git,934d23c0be29c9721385f34565c0ae2cbd60da04
opentofu/opentofu,https://github.com/opentofu/opentofu.git,ae4c17990964b1ca0819ffaec03366cf969be5ed
oxc-project/oxc,https://github.com/oxc-project/oxc.git,3f0318739fcffb18c37a78c40eaaa09313bf093a
pbakaus/impeccable,https://github.com/pbakaus/impeccable.git,cd12f8660e2dde57b9615c8a6b8ea674101f9cfc
pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching.git,1166d5d48b7028872fb863661a413955745075f4
pingcap/tidb,https://github.com/pingcap/tidb.git,198387411d2bb07351c2e40e4160b0a201d39064
pnpm/pnpm,https://github.com/pnpm/pnpm.git,2f3ed22890a8e3656a435441cc639112669f16dd
preactjs/preact,https://github.com/preactjs/preact.git,78a430b8342e3b3ee5e7581cd1e9e62111d3be26
qdrant/qdrant,https://github.com/qdrant/qdrant.git,6ab21cac18ebb6f4ae29102c7f8f5cc11affd5de
qeeqbox/social-analyzer,https://github.com/qeeqbox/social-analyzer.git,1ba0905e00d054aab833eb3693739c354db09e0f
quasarframework/quasar,https://github.com/quasarframework/quasar.git,65b73bc84cabf0ca6d19755b2d5c30182663d2fd
rakyll/hey,https://github.com/rakyll/hey.git,5626f79b8698df6daf9b25799c9805c6acc96740
ramda/ramda,https://github.com/ramda/ramda.git,803cab30f2e63cd102c6721c1da6c61e57e12429
ratatui/ratatui,https://github.com/ratatui/ratatui.git,99168f8afa2d75f89beeee17f0d15835010177c4
rathole-org/rathole,https://github.com/rathole-org/rathole.git,a292f7ed5402f840415fc6a53827da2f34337856
rclone/rclone,https://github.com/rclone/rclone.git,ef6968730fc5582aa2a1db028440f3acc48b4e27
react/create-react-app,https://github.com/react/create-react-app.git,6254386531d263688ccfa542d0e628fbc0de0b28
react/react,https://github.com/react/react.git,4558a1691bf8eeac8c429d5efbbb7b51507b8b7c
remy/nodemon,https://github.com/remy/nodemon.git,8c36541e56b69c30c53f6a1bf09e2b4c671b1e99
roboflow/supervision,https://github.com/roboflow/supervision.git,1c50465d1706869556d299b4ecd00146554f501f
rtk-ai/rtk,https://github.com/rtk-ai/rtk.git,8e9aa04cb2afb189747fac4e36bec2254ddd0564
run-llama/llama_index,https://github.com/run-llama/llama_index.git,5be447943168d8ac800901a623ca50bdbdee1c8e
rust-lang/mdBook,https://github.com/rust-lang/mdBook.git,6a75867463828eb5b0b00f78feb0224c1bbc39aa
rustfs/rustfs,https://github.com/rustfs/rustfs.git,27d66c159fff13283eadb17d6c7d45d07722d2b7
satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython.git,9323b863218670404405e0a0b9f54d2841a7452e
schollz/croc,https://github.com/schollz/croc.git,d43e89a93e8a782c67be1350ace17c46d1b8d323
seaweedfs/seaweedfs,https://github.com/seaweedfs/seaweedfs.git,966692fa232c8ba4e5dcfe649cfd1443421364d8
sipeed/picoclaw,https://github.com/sipeed/picoclaw.git,bbf6893ca7afad27f1d00a0f5a45982a549c6ed6
spicetify/cli,https://github.com/spicetify/cli.git,7062ff48ab698c9d292477017e801bb9ae91b9c4
starship/starship,https://github.com/starship/starship.git,6e286d0cc422fb0d46cc32045f4ab347ab6724bb
sundowndev/phoneinfoga,https://github.com/sundowndev/phoneinfoga.git,55807b05b753dab7bc6fe67403ca385668dda179
temporalio/temporal,https://github.com/temporalio/temporal.git,0c010ce5fe8c0180aa7573c72fe8fc87c6df7025
tikv/tikv,https://github.com/tikv/tikv.git,3c8e5f454ff54d2e4765be3e079ec9481b0eb690
tj/commander.js,https://github.com/tj/commander.js.git,ba6d13ddb4243e5913367734f8c159089ffe7834
tokio-rs/axum,https://github.com/tokio-rs/axum.git,7d1594a003aac6a520b8153a632b2f6e234a9c8c
tokio-rs/tokio,https://github.com/tokio-rs/tokio.git,346dd031d007ff2f83ba7b2ab8dc0e61c1dffe7c
traefik/traefik,https://github.com/traefik/traefik.git,d48621ce0b6fd221b20bdb6c22e652e7498e5db6
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms.git,85293e3e2b88f4d2ce330d956b139cf628aa1e82
tsenart/vegeta,https://github.com/tsenart/vegeta.git,cf5811269046c672a604b1eb352204d30f16ae4a
typicode/husky,https://github.com/typicode/husky.git,3f0023dc10d7003d70f2e31aa56300eab80e76d6
ultralytics/ultralytics,https://github.com/ultralytics/ultralytics.git,1ba77f668344711bf1c8859fe318ce2cda81757d
usestrix/strix,https://github.com/usestrix/strix.git,52b19233477a783004467c1522651eec96015e73
uutils/coreutils,https://github.com/uutils/coreutils.git,bebeb9b4dcd8a9ab3e543b0d377628bf60952681
v2ray/v2ray-core,https://github.com/v2ray/v2ray-core.git,d80440f3d57b45c829dbf513306f7adf9a0f3f76
validatorjs/validator.js,https://github.com/validatorjs/validator.js.git,a79ff980ab14257e795332989e497bdff3218e87
vuejs/vue-cli,https://github.com/vuejs/vue-cli.git,7eb93c169c7520935252e2473387f923ef80d856
webpack/webpack,https://github.com/webpack/webpack.git,d4b2f443742cd19feb326719fec10c7b0d94dba5
winstonjs/winston,https://github.com/winstonjs/winston.git,ff0b79de8562bb322c390fbc82fe71c11f373428
xai-org/grok-build,https://github.com/xai-org/grok-build.git,75810042ca2762aa0b0fa17864f3f68823ccbea5
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl.git,956b8c585591b401a543e409accb163eeaaa1193
zellij-org/zellij,https://github.com/zellij-org/zellij.git,af38660c5884f50bb3726682fb92961326c4268f
zeromicro/go-zero,https://github.com/zeromicro/go-zero.git,84c92d710b9f2ae11c3cbcee242cea40eec42e70
zylon-ai/private-gpt,https://github.com/zylon-ai/private-gpt.git,60b3fce7e1d0b96044b7544a552a8a9e859ba51b
